id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
14464880,25.68400828,-80.67264993,Limenitis archippus,Viceroy,Insecta,58586
14609119,25.6030101,-80.5341411,Limenitis archippus,Viceroy,Insecta,58586
14614398,28.6324466,-82.6053325,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
14961654,28.56442449,-81.97050989,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
14991790,26.31585182,-81.6326683,Limenitis archippus,Viceroy,Insecta,58586
15007804,28.362197,-81.574089,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
15009556,28.51095571,-81.07022866,Limenitis archippus,Viceroy,Insecta,58586
15023805,25.683013172,-80.6729998355,Limenitis archippus,Viceroy,Insecta,58586
15039281,28.6324466,-82.6053325,Limenitis archippus,Viceroy,Insecta,58586
15054467,27.4214166667,-82.348495,Limenitis archippus,Viceroy,Insecta,58586
15079815,28.2779896,-81.8443169,Limenitis archippus,Viceroy,Insecta,58586
15116900,26.266775,-81.53578,Limenitis archippus,Viceroy,Insecta,58586
15207706,28.5697526935,-81.0011348616,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
15209765,30.2657183333,-85.9030933333,Limenitis archippus,Viceroy,Insecta,58586
15219981,30.5232346318,-84.2567494709,Limenitis archippus,Viceroy,Insecta,58586
15258777,28.8866442487,-81.7980424724,Limenitis archippus,Viceroy,Insecta,58586
15298532,28.3192405,-81.8623872,Limenitis archippus,Viceroy,Insecta,58586
15347321,30.6900626336,-85.2362858815,Limenitis archippus,Viceroy,Insecta,58586
15458837,28.4548638,-81.92215,Limenitis archippus,Viceroy,Insecta,58586
15495284,29.8800218811,-81.28540501,Limenitis archippus,Viceroy,Insecta,58586
15736910,29.6703033333,-82.3494333333,Limenitis archippus,Viceroy,Insecta,58586
15779848,28.6324466,-82.6053325,Limenitis archippus,Viceroy,Insecta,58586
15819822,27.9944808747,-81.8655950899,Limenitis archippus,Viceroy,Insecta,58586
15824845,29.5875916667,-82.1719066667,Limenitis archippus,Viceroy,Insecta,58586
15873374,28.46643336,-82.57838971,Limenitis archippus,Viceroy,Insecta,58586
15922391,30.521928307,-84.323219955,Limenitis archippus,Viceroy,Insecta,58586
15922835,30.425957,-84.316185,Limenitis archippus,Viceroy,Insecta,58586
15948665,27.803455642,-80.4293203354,Limenitis archippus,Viceroy,Insecta,58586
16076411,27.9945104,-81.8653213,Limenitis archippus,Viceroy,Insecta,58586
16171793,25.9796697691,-81.4124525988,Limenitis archippus,Viceroy,Insecta,58586
16193925,28.06713,-82.403192,Limenitis archippus,Viceroy,Insecta,58586
16313470,27.7268315424,-82.6508401841,Limenitis archippus,Viceroy,Insecta,58586
16329005,25.682558576,-80.6730756861,Limenitis archippus,Viceroy,Insecta,58586
16354811,29.6902217865,-82.3981704712,Limenitis archippus,Viceroy,Insecta,58586
16368595,29.856566573,-84.7537296054,Limenitis archippus,Viceroy,Insecta,58586
16392203,27.9172092683,-81.9523919143,Limenitis archippus,Viceroy,Insecta,58586
16446409,29.5893861111,-82.1836388889,Limenitis archippus,Viceroy,Insecta,58586
16538769,27.1209564209,-82.1958694458,Limenitis archippus,Viceroy,Insecta,58586
16667963,26.620206,-81.410275,Limenitis archippus,Viceroy,Insecta,58586
16674957,28.585405,-81.35855,Limenitis archippus,Viceroy,Insecta,58586
16687941,26.3186655349,-81.62526772,Limenitis archippus,Viceroy,Insecta,58586
16687949,26.3186655349,-81.62526772,Limenitis archippus,Viceroy,Insecta,58586
16847316,29.5867605659,-82.1721643806,Limenitis archippus,Viceroy,Insecta,58586
16893744,28.5328915,-81.2382442,Limenitis archippus,Viceroy,Insecta,58586
17114112,27.841076,-82.669872,Limenitis archippus,Viceroy,Insecta,58586
17120077,29.6658055556,-82.2389444444,Limenitis archippus,Viceroy,Insecta,58586
17134530,28.13195352,-82.65888373,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
17189133,28.0760794384,-82.3759213432,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
17221417,26.5671362923,-81.6925171179,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
17247415,29.619502,-82.32735,Limenitis archippus,Viceroy,Insecta,58586
