"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Platanus wrightii","2018-04-16 16:43:00 -0500","","Yavapai County, AZ, USA",34.6035224229,-111.7254638672,"","Arizona sycamore","https://www.inaturalist.org/observations/11272052","https://static.inaturalist.org/photos/16023242/medium.jpg?1524328437","tth008",11272052,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/04/16 4:43 PM CDT","2018-04-16","2018-04-16 21:43:00 UTC","Central Time (US & Canada)",15625,NA,NA,"false","","",NA,132256,"2018-04-21 16:35:38 UTC","2018-04-21 18:33:34 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-17 13:27:52 -0600","","Chiricahua National Monument, Willcox, AZ, US",32.022125,-109.3418666667,"","Arizona sycamore","https://www.inaturalist.org/observations/11246744","https://static.inaturalist.org/photos/15969620/medium.jpg?1524278428","ck2az",11246744,"Arizona sycamore","Plantae",167031,"false",1,0,"Tue Apr 17 2018 13:27:52 GMT-0700 (MST)","2018-04-17","2018-04-17 19:27:52 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,264009,"2018-04-21 02:40:08 UTC","2018-08-18 21:32:58 UTC","research","CC-BY",NA,3,"false"
"Platanus wrightii","2018-04-17 15:18:21 -0600","","Chiricahua National Monument, Willcox, AZ, US",32.0091232974,-109.3733247778,"","Arizona sycamore","https://www.inaturalist.org/observations/11156549","https://static.inaturalist.org/photos/15791462/medium.jpg?1524120816","ck2az",11156549,"Arizona sycamore","Plantae",167031,"false",1,0,"Tue Apr 17 2018 15:18:21 GMT-0700 (MST)","2018-04-17","2018-04-17 21:18:21 UTC","Mountain Time (US & Canada)",24,NA,NA,"false","","",NA,264009,"2018-04-19 06:53:24 UTC","2018-08-18 21:31:44 UTC","research","CC-BY",NA,3,"false"
"Platanus wrightii","2018-04-11 15:25:08 -0600","","Santa Cruz County, US-AZ, US",31.7137885373,-110.8758850583,"","Arizona sycamore","https://www.inaturalist.org/observations/11071340","https://static.inaturalist.org/photos/15625127/medium.jpg?1523983538","kylelima",11071340,"Arizona sycamore","Plantae",167031,"false",1,0,"Wed Apr 11 2018 15:25:08 GMT-0700 (MST)","2018-04-11","2018-04-11 21:25:08 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,50988,"2018-04-17 16:45:19 UTC","2018-04-17 17:54:49 UTC","research","CC-BY-NC",NA,3,"false"
"Platanus wrightii","2018-04-09 08:39:00 -0500","","Cochise County, AZ, USA",31.9120588596,-109.1426789761,"","Arizona sycamore","https://www.inaturalist.org/observations/10918255","https://static.inaturalist.org/photos/15352485/medium.jpg?1523736724","jbroadhead",10918255,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/04/09 8:39 AM CDT","2018-04-09","2018-04-09 13:39:00 UTC","Central Time (US & Canada)",107,NA,NA,"false","","",NA,228699,"2018-04-14 20:21:40 UTC","2018-04-15 03:32:36 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-31 16:55:00 -0400","","Yavapai County, AZ, USA",34.6116535596,-111.8412242794,"","Arizona sycamore","https://www.inaturalist.org/observations/10672936","https://static.inaturalist.org/photos/14900110/medium.jpeg?1523077537","nrpeters",10672936,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/03/31 4:55 PM EDT","2018-03-31","2018-03-31 20:55:00 UTC","Eastern Time (US & Canada)",198,NA,NA,"false","","",NA,616772,"2018-04-07 05:07:40 UTC","2018-04-07 14:40:28 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-31 16:49:00 -0400","","Yavapai County, AZ, USA",34.6116535596,-111.8412242794,"","Arizona sycamore","https://www.inaturalist.org/observations/10672924","https://static.inaturalist.org/photos/14900043/medium.jpeg?1523077331","nrpeters",10672924,"Arizona sycamore","Plantae",167031,"false",2,0,"2018/03/31 4:49 PM EDT","2018-03-31","2018-03-31 20:49:00 UTC","Eastern Time (US & Canada)",198,NA,NA,"false","","",NA,616772,"2018-04-07 05:07:12 UTC","2018-07-22 02:49:35 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-01 07:36:53 -0600","","Pima County, US-AZ, US",31.7328660004,-110.8825995495,"","Arizona sycamore","https://www.inaturalist.org/observations/10623666","https://static.inaturalist.org/photos/14818578/medium.jpg?1522880182","teodelina",10623666,"Arizona sycamore","Plantae",167031,"false",1,0,"Sun Apr 01 2018 07:36:53 GMT-0700 (MST)","2018-04-01","2018-04-01 13:36:53 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,402314,"2018-04-04 22:16:15 UTC","2018-04-05 01:48:15 UTC","research","",NA,3,"false"
"Platanus wrightii","2017-08-25 14:58:11 -0700","","Madera Canyon, Arizona",31.711827,-110.871599,"","Arizona sycamore","https://www.inaturalist.org/observations/10586108","https://static.inaturalist.org/photos/14755915/medium.jpeg?1522727716","matthew_salkiewicz",10586108,"Arizona sycamore","Plantae",167031,"false",1,0,"2017-08-25 14:58:11","2017-08-25","2017-08-25 21:58:11 UTC","Pacific Time (US & Canada)",113,NA,NA,"false","","",NA,16576,"2018-04-03 03:55:19 UTC","2018-04-15 22:43:36 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-31 15:12:00 -0600","It is fascinating how the bark exfoliates.","Slate Creek Divide, Maricopa County, AZ, USA",33.9388316667,-111.4647016667,"","Arizona sycamore","https://www.inaturalist.org/observations/10541217","https://static.inaturalist.org/photos/14678063/medium.jpg?1522555168","mjplagens",10541217,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/03/31 3:12 PM MST","2018-03-31","2018-03-31 21:12:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,375489,"2018-04-01 04:02:02 UTC","2018-04-01 04:08:39 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-28 10:50:48 -0600","","Coconino County, US-AZ, US",34.9261197653,-111.7342857658,"","Arizona sycamore","https://www.inaturalist.org/observations/10484977","https://static.inaturalist.org/photos/14634959/medium.jpg?1522455915","lukeberg",10484977,"Arizona sycamore","Plantae",167031,"false",1,0,"Wed Mar 28 2018 10:50:48 GMT-0700 (MST)","2018-03-28","2018-03-28 16:50:48 UTC","Mountain Time (US & Canada)",4899,NA,NA,"false","","",NA,499808,"2018-03-29 04:26:59 UTC","2018-04-01 01:40:15 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-01-13 15:24:00 -0700","","W Fork Trail, Sedona, AZ 86336, USA",34.9880339,-111.7463653,"","Arizona sycamore","https://www.inaturalist.org/observations/10456801","https://static.inaturalist.org/photos/14538294/medium.jpg?1522189501","birdlorddude",10456801,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/01/13 3:24 PM MST","2018-01-13","2018-01-13 22:24:00 UTC","Mountain Time (US & Canada)",183,NA,NA,"false","","",NA,796095,"2018-03-27 22:25:33 UTC","2018-03-29 04:26:52 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-18 10:23:00 -0700","","Sierra Cucurpe, municipio de Santa Ana, Son., México",30.4115960291,-110.8895587921,"","Arizona sycamore","https://www.inaturalist.org/observations/10452550","https://static.inaturalist.org/photos/14530086/medium.jpg?1522173424","davidalejandro6",10452550,"Sicómoro de Arizona","Plantae",167031,"false",2,0,"2018/03/18 10:23 AM -0700","2018-03-18","2018-03-18 17:23:00 UTC","Arizona",2000,NA,NA,"false","","",NA,329971,"2018-03-27 18:29:51 UTC","2018-04-01 04:58:55 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-03-25 11:14:52 -0600","","Pima County, US-AZ, US",31.7398081406,-110.8861690555,"","Arizona sycamore","https://www.inaturalist.org/observations/10419558","https://static.inaturalist.org/photos/14473772/medium.jpg?1522012998","gyrrlfalcon",10419558,"Arizona sycamore","Plantae",167031,"false",1,0,"Sun Mar 25 2018 11:14:52 GMT-0700 (MST)","2018-03-25","2018-03-25 17:14:52 UTC","Mountain Time (US & Canada)",6,NA,NA,"false","","",NA,8778,"2018-03-25 21:23:14 UTC","2018-03-26 02:12:58 UTC","research","CC-BY-NC",NA,3,"false"
